Código de Barras;Tipo de Produto;Descrição;Preço de Custo;Preço Venda Varejo;Preço Venda Atacado;Quantidade Mínima Atacado;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque mínimo;Quantidade em Estoque;Marca;Modelo;Código Balança;Código Interno;Tags;Tipo;NCM;Origem;CEST;Categoria PDV;Botão PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preço De;Preço Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descrição do Produto;Garantia;Itens Inclusos;Especificações
"001";"Produto";"teste1";5.00;10.00;0.00;0.00;"Unidade";"Não";"ACESSORIOS";"ACESSORIOS";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"teste1";0.00;10.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000001";"Produto";"Blusas diversas";14.40;25.00;0.00;0.00;"Unidade";"Não";"";"";"Sim";0.000;0.000;"";"";"";"";"";"Mercadoria para Revenda";"";"NACIONAL";"";"";"";"";"";"";0.00;0.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000002";"Produto";"BERMUDA JEANS MASCULINA SANTOS";45.00;90.00;0.00;0.00;"Unidade";"Não";"";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA JEANS MASCULINA SANTOS";0.00;90.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000003";"Produto";"BABY DOOL";10.15;25.00;0.00;0.00;"Unidade";"Sim";"ADULTO";"";"Sim";0.000;1.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BABY DOOL";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000004";"Produto";"BERMUDA JEANS MASC RN";27.50;35.00;0.00;0.00;"Unidade";"Não";"JEANS";"";"Sim";0.000;1.000;"RN";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA JEANS MASC RN";0.00;35.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000005";"Produto";"BERMUDA  MASC JOGADOR LUCAS";20.00;39.90;0.00;0.00;"Unidade";"Não";"MASCULINO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;0.000;"LUCAS";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA  MASC JOGADOR LUCAS";0.00;39.90;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000006";"Produto";"BERMUDA MASC JEANS MM";62.83;120.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;19.000;"MUITO MAIS";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC JEANS MM";0.00;120.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000007";"Produto";"BERMUDA MASC BRIM";15.50;20.00;0.00;0.00;"Unidade";"Não";"ADULTO MASCULINO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC BRIM";0.00;20.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000008";"Produto";"BERMUDA MASC CROSFIT";18.00;30.00;0.00;0.00;"Unidade";"Não";"ADULTO MASCULINO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC CROSFIT";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000009";"Produto";"BERMUDA MASC FLORAL";28.90;45.00;0.00;0.00;"Unidade";"Não";"ADULTO MASCULINO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC FLORAL";0.00;45.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000010";"Produto";"BERMUDA MASC MOLETON";19.30;35.00;0.00;0.00;"Unidade";"Sim";"ADULTO MASCULINO";"";"Sim";0.000;8.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC MOLETON";0.00;35.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000011";"Produto";"BERMUDA MASC JEANS NEKI";54.90;130.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;7.000;"NEKI";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC JEANS NEKI";0.00;130.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000012";"Produto";"BERMUDA MASC LACOSTE";25.00;45.00;0.00;0.00;"Unidade";"Não";"ADULTO MASCULINO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC LACOSTE";0.00;45.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000013";"Produto";"BERMUDA MASC TACTEL DIVERSOS";8.11;15.00;0.00;0.00;"Unidade";"Sim";"ADULTO MASCULINO";"";"Sim";0.000;12.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC TACTEL DIVERSOS";0.00;15.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000014";"Produto";"BERMUDA TACTEL MASC SANTOS";25.00;35.00;0.00;0.00;"Unidade";"Não";"ADULTO MASCULINO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA TACTEL MASC SANTOS";0.00;35.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000015";"Produto";"BERMUDA MASCULINA JEANS RN SERVIÇO";23.90;40.00;0.00;0.00;"Unidade";"Não";"ADULTO MASCULINO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASCULINA JEANS RN SERVIÇO";0.00;40.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000016";"Produto";"BERMUDA MASC TACTEL FLORAL";15.00;30.00;0.00;0.00;"Unidade";"Sim";"ADULTO MASCULINO";"";"Sim";0.000;1.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC TACTEL FLORAL";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000017";"Produto";"BERMUDA MASC  VALDIR";39.93;89.00;0.00;0.00;"Unidade";"Sim";"ADULTO MASCULINO";"";"Sim";0.000;1.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BERMUDA MASC  VALDIR";0.00;89.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000018";"Produto";"BIQUINI";11.60;25.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BIQUINI";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000019";"Produto";"BLUSA CANELADA COM BOJO";13.02;25.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"";"Sim";0.000;0.000;"R.A";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA CANELADA COM BOJO";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000020";"Produto";"BLUSA CROPET CREP";19.56;35.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"";"Sim";0.000;0.000;"R.A";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA CROPET CREP";0.00;35.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000021";"Produto";"BLUSA ELI REGATA";20.00;35.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;-1.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA ELI REGATA";0.00;35.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000022";"Produto";"BLUSA ELI BASICA";11.30;20.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;0.000;"ELI";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA ELI BASICA";0.00;20.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000023";"Produto";"BLUSA ELI 3/4";33.20;59.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;5.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA ELI 3/4";0.00;59.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000024";"Produto";"BLUSA ELI VISCOSE";38.21;69.90;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;1.000;"ELI";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA ELI VISCOSE";0.00;69.90;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000025";"Produto";"BLUSA REGATA FLORIDA ROVITEX";19.90;30.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;2.000;"ROVITEX";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA REGATA FLORIDA ROVITEX";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000026";"Produto";"BLUSA LIGANETE R.A";10.15;20.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"";"Sim";0.000;0.000;"R.A";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA LIGANETE R.A";0.00;20.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000027";"Produto";"BLUSA MANGA LONGA COM BARRA LUNENDER";43.86;45.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"";"Sim";0.000;0.000;"LUNENDER";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA MANGA LONGA COM BARRA LUNENDER";0.00;45.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000028";"Produto";"CASACO MOLETON LUNENDER";37.86;40.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;1.000;"LUNENDER";"";"";"";"";"";"";"";"";"";"";"";"";"CASACO MOLETON LUNENDER";0.00;40.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000029";"Produto";"BLUSA MANGA BUFANTE R.A";13.75;20.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"";"Sim";0.000;0.000;"R.A";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA MANGA BUFANTE R.A";0.00;20.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000030";"Produto";"BLUSA T SHIRT MANGA LONGA";13.90;25.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;0.000;"R.A";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA T SHIRT MANGA LONGA";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000031";"Produto";"BLUSA MANGA TIC TAC";17.54;35.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;1.000;"TIC TAC";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA MANGA TIC TAC";0.00;35.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000032";"Produto";"BLUSA MANGA VISCOSE ROVITEX";25.90;39.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;0.000;"ROVITEX";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA MANGA VISCOSE ROVITEX";0.00;39.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000033";"Produto";"BLUSA DIVERSAS ROVITEX";11.94;20.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"";"Sim";0.000;0.000;"ROVITEX";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA DIVERSAS ROVITEX";0.00;20.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000034";"Produto";"BLUSA ESTAMPADA ROVITEX";15.90;30.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"";"Sim";0.000;0.000;"ROVITEX";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA ESTAMPADA ROVITEX";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000035";"Produto";"BLUSA T SHIRT DIVERSAS";12.00;25.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA T SHIRT DIVERSAS";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000036";"Produto";"BLUSA VISCOSE PLUS";18.16;35.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;3.000;"ELI";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA VISCOSE PLUS";0.00;35.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000037";"Produto";"BLUSA BASICA LUNENDER";18.35;30.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"";"Sim";0.000;0.000;"LUNENDER";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA BASICA LUNENDER";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000038";"Produto";"BABY LOOK UNISSEX";15.90;25.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"BABY LOOK UNISSEX";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000039";"Produto";"BODY MANGA";13.85;25.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;2.000;"R.A";"";"";"";"";"";"";"";"";"";"";"";"";"BODY MANGA";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000040";"Produto";"CALÇA FEMININA ANDERSON";45.00;90.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;1.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"CALÇA FEMININA ANDERSON";0.00;90.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000041";"Produto";"CALÇA FEM JOGUER PRETA SH";28.45;59.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"";"Sim";0.000;0.000;"SHOPEE";"";"";"";"";"";"";"";"";"";"";"";"";"CALÇA FEM JOGUER PRETA SH";0.00;59.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000042";"Produto";"calça jeans feminina lunender";66.13;99.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;2.000;"MUITO MAIS";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans feminina lunender";0.00;99.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000043";"Produto";"calça feminina muito mais";83.34;150.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;8.000;"MUITO MAIS";"";"";"";"";"";"";"";"";"";"";"";"";"calça feminina muito mais";0.00;150.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000044";"Produto";"calça feminina neki";53.00;99.90;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;0.000;"NEKI";"";"";"";"";"";"";"";"";"";"";"";"";"clça feminina neki";0.00;99.90;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000045";"Produto";"calça jeans feminina nz tic tac";35.00;85.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;2.000;"nz";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans feminina nz tic tac";0.00;85.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000046";"Produto";"calça jeans feminina omz";51.11;100.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"";"Sim";0.000;0.000;"omz";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans feminina omz";0.00;100.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000047";"Produto";"calça jeans fem  plu sys";39.90;80.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans fem  plu sys";0.00;80.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000048";"Produto";"calça jeans feminina santari";47.90;50.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;4.000;"santari";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans feminina santari";0.00;50.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000049";"Produto";"calça jeans feminina bivick";28.00;50.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;1.000;"bivick";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans feminina bivick";0.00;50.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000050";"Produto";"calça feminina preta valdir";41.90;89.90;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;2.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"calça feminina preta valdir";0.00;89.90;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000051";"Produto";"calça jeans feminina victor blue";35.00;50.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;1.000;"victor blue";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans feminina victor blue";0.00;50.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000052";"Produto";"calça jeans feminina word";31.75;50.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;4.000;"word";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans feminina word";0.00;50.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000053";"Produto";"calça jeans masculina rn";42.27;85.00;0.00;0.00;"Unidade";"Sim";"ADULTO MASCULINO";"";"Sim";0.000;1.000;"RN";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans masculina rn";0.00;85.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000054";"Produto";"calça jeans feminina joguer r.a";37.80;65.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;0.000;"R.A";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans feminina joguer r.a";0.00;65.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000055";"Produto";"calça joguer sued r.a";21.00;25.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;1.000;"R.A";"";"";"";"";"";"";"";"";"";"";"";"";"calça joguer sued r.a";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000056";"Produto";"calça masculina branca";22.10;50.00;0.00;0.00;"Unidade";"Sim";"ADULTO MASCULINO";"";"Sim";0.000;1.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"calça masculina branca";0.00;50.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000057";"Produto";"calça jeans masculina de serviço";29.90;45.00;0.00;0.00;"Unidade";"Sim";"ADULTO MASCULINO";"";"Sim";0.000;2.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans masculina de serviço";0.00;45.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000058";"Produto";"calça jeans masculina santari";46.06;100.00;0.00;0.00;"Unidade";"Sim";"ADULTO MASCULINO";"";"Sim";0.000;4.000;"santari";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans masculina santari";0.00;100.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000059";"Produto";"calça jeans masculina muito mais";85.90;150.00;0.00;0.00;"Unidade";"Sim";"ADULTO MASCULINO";"";"Sim";0.000;1.000;"MUITO MAIS";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans masculina muito mais";0.00;150.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000060";"Produto";"calça jeans masculina valdir";41.00;100.00;0.00;0.00;"Unidade";"Não";"ADULTO MASCULINO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans masculina valdir";0.00;100.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000061";"Produto";"calça jeans masculina anderson";50.00;110.00;0.00;0.00;"Unidade";"Sim";"ADULTO MASCULINO";"";"Sim";0.000;1.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans masculina anderson";0.00;110.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000062";"Produto";"calça masculina crosfit";30.00;60.00;0.00;0.00;"Unidade";"Não";"MASCULINO ADULTO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"calça masculina crosfit";0.00;60.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000063";"Produto";"calça jeans masculina neki";50.16;110.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"";"Sim";0.000;0.000;"NEKI";"";"";"";"";"";"";"";"";"";"";"";"";"calça jeans masculina neki";0.00;110.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000064";"Produto";"calça masculina tactel";11.07;20.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"";"Sim";0.000;1.000;"R.A";"";"";"";"";"";"";"";"";"";"";"";"";"calça masculina tactel";0.00;20.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000065";"Produto";"calça moleton camuflada R.A";28.20;55.00;0.00;0.00;"Unidade";"Sim";"ADULTO";"";"Sim";0.000;1.000;"R.A";"";"";"";"";"";"";"";"";"";"";"";"";"calça moleton camuflada R.A";0.00;55.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000066";"Produto";"calça feminina leg montaria";38.20;40.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;2.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"calça feminina leg montaria";0.00;40.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000067";"Produto";"calça  feminina pantacourt rovitex";20.70;39.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"";"Sim";0.000;4.000;"ROVITEX";"";"";"";"";"";"";"";"";"";"";"";"";"calça  feminina pantacourt rovitex";0.00;39.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000068";"Produto";"calça moleton rovitex";32.90;60.00;0.00;0.00;"Unidade";"Sim";"ADULTO";"";"Sim";0.000;0.000;"ROVITEX";"";"";"";"";"";"";"";"";"";"";"";"";"calça moleton rovitex";0.00;60.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000069";"Produto";"calças diversas tic tac";35.00;70.00;0.00;0.00;"Unidade";"Sim";"ADULTO";"";"Sim";0.000;3.000;"TIC TAC";"";"";"";"";"";"";"";"";"";"";"";"";"calças diversas tic tac";0.00;70.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000070";"Produto";"CALÇOLA  ALGODAO LISA SH";4.20;15.00;0.00;0.00;"Unidade";"Sim";"lingerie adulto";"TANGAS";"Sim";0.000;2.000;"SHOPEE";"";"";"";"";"";"";"";"";"";"";"";"";"CALÇOLA  ALGODAO LISA SH";0.00;15.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000071";"Produto";"calçinha  adulto de algodao lisa";6.00;12.00;0.00;0.00;"Unidade";"Não";"lingerie adulto";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"calçinha  adulto de algodao lisa";0.00;12.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000072";"Produto";"camisa masculina florida rovitex";33.90;69.90;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"";"Sim";0.000;0.000;"ROVITEX";"";"";"";"";"";"";"";"";"";"";"";"";"camisa masculina florida rovitex";0.00;69.90;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000073";"Produto";"camisa jeans masculina muito mais";69.90;110.00;0.00;0.00;"Unidade";"Não";"MASCULINO ADULTO";"";"Sim";0.000;0.000;"MUITO MAIS";"";"";"";"";"";"";"";"";"";"";"";"";"camisa jeans masculina muito mais";0.00;110.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000074";"Produto";"camisa masculina polo la mania";31.07;55.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"";"Sim";0.000;7.000;"la mania";"";"";"";"";"";"";"";"";"";"";"";"";"camisa masculina polo la mania";0.00;55.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000075";"Produto";"camisa masculina polo anderson";11.00;25.00;0.00;0.00;"Unidade";"Não";"MASCULINO ADULTO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"camisa masculina polo anderson";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000076";"Produto";"camiseta masculina anderson";12.00;25.00;0.00;0.00;"Unidade";"Não";"MASCULINO ADULTO";"";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"camiseta masculina anderson";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000077";"Produto";"camiseta masculina rovitex";16.08;30.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"";"Sim";0.000;3.000;"ROVITEX";"";"";"";"";"";"";"";"";"";"";"";"";"camiseta masculina rovitex";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000078";"Produto";"camiseta masculina time";17.00;30.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"";"Sim";0.000;3.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"camiseta masculina time";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000079";"Produto";"camiseta masculina plu sys";35.00;55.00;0.00;0.00;"Unidade";"Sim";"";"";"Sim";0.000;4.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"camiseta masculina plu sys";0.00;55.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000080";"Produto";"camiseta masculina manga longa";16.27;30.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"";"Sim";0.000;-3.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"camiseta masculina manga longa";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000081";"Produto";"camiseta masculina manga longa la mania";29.90;55.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"";"Sim";0.000;1.000;"la mania";"";"";"";"";"";"";"";"";"";"";"";"";"camiseta masculina manga longa la mania";0.00;55.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000082";"Produto";"camiseta masculina manga longa anderson";16.27;30.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"";"Sim";0.000;4.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"camiseta masculina manga longa anderson";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000083";"Produto";"CAMISETA MASCULINA ADULTO LA MANIA";27.26;45.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"";"Sim";0.000;6.000;"la mania";"";"";"";"";"";"";"";"";"";"";"";"";"CAMISETA MASCULINA ADULTO LA MANIA";0.00;45.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000084";"Produto";"CAMISETA MASCULINA R.A";12.33;25.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"";"Sim";0.000;-1.000;"R.A";"";"";"";"";"";"";"";"";"";"";"";"";"CAMISETA MASCULINA R.A";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000085";"Produto";"CAMISETA MASCULINA MARCAS";22.00;39.90;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;2.000;"SANTOS";"";"";"";"";"";"";"";"";"";"";"";"";"CAMISETA MASCULINA MARCAS";0.00;39.90;0.000;0.000;0.000;0.000;"";"";"";""
