Código de Barras;Tipo de Produto;Descrição;Preço de Custo;Preço Venda Varejo;Preço Venda Atacado;Quantidade Mínima Atacado;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque mínimo;Quantidade em Estoque;Marca;Modelo;Código Balança;Código Interno;Tags;Tipo;NCM;Origem;CEST;Categoria PDV;Botão PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preço De;Preço Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descrição do Produto;Garantia;Itens Inclusos;Especificações
"2000000000353";"Produto";"RASTEIRA SUELLEN / DOURADA/ PRETA E BEGE";16.52;16.52;0.00;0.00;"Unidade";"Não";"CALÇADO FEMININO";"CALÇADOS";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"RASTEIRA SUELLEN / DOURADA/ PRETA E BEGE";0.00;16.52;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000354";"Produto";"SANDALIA INFANTIL  FEMININA LAÇO/ SANDALIA MASCULINA";21.56;39.90;0.00;0.00;"Unidade";"Não";"CALÇADO INFANTIL";"CALÇADOS";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"SANDALIA INFANTIL  FEMININA LAÇO/ SANDALIA MASCULINA";0.00;39.90;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000355";"Produto";"COLONIA MUSK AVON";6.15;15.00;0.00;0.00;"Unidade";"Não";"PERFUMARIA AVON";"PERFUMARIA AVON";"Sim";0.000;0.000;"AVON";"";"";"";"";"";"";"";"";"";"";"";"";"COLONIA MUSK AVON";0.00;15.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000356";"Produto";"CALÇADOS EM PROMOÇÃO";8.50;10.00;0.00;0.00;"Unidade";"Não";"PROMOÇAO";"CALÇADOS";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"CALÇADOS EM PROMOÇÃO";0.00;10.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000357";"Produto";"CALCINHAS E CUECAS ALGODAO ELI";2.82;5.00;0.00;0.00;"Unidade";"Sim";"LINGERIE INFANTIL";"LINGERIE INFANTIL";"Sim";0.000;12.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"CALCINHAS E CUECAS ALGODAO ELI";0.00;5.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000358";"Produto";"CONJUNTO LINGERIE ANDERSON";15.00;30.00;0.00;0.00;"Unidade";"Sim";"lingerie adulto";"CONJUNTO  LINGERIE";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"CONJUNTO LINGERIE ANDERSON";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000359";"Produto";"TANGAS ANDERSON";5.00;10.00;0.00;0.00;"Unidade";"Não";"lingerie adulto";"TANGAS";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"TANGAS ANDERSON";0.00;10.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000360";"Produto";"SUTIEN ANDERSON";10.00;15.00;0.00;0.00;"Unidade";"Não";"lingerie adulto";"SUTIENS";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"SUTIEN ANDERSON";0.00;15.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000361";"Produto";"SHORT SUPLEX ENTRA G";24.90;45.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"SHORT SUPLEX ENTRA G";0.00;45.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000362";"Produto";"BLUSA ROVITEX PLUS/ ALÇA LIGANETE E CANELADA";14.41;30.00;0.00;0.00;"Unidade";"Não";"FEMININO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;0.000;"santari";"";"";"";"";"";"";"";"";"";"";"";"";"BLUSA ROVITEX PLUS/ ALÇA LIGANETE E CANELADA";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000363";"Produto";"VESTIDO ROVITEX MIDI MALHA";41.98;70.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"VESTIDO ROVITEX MIDI MALHA";0.00;70.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000364";"Produto";"MACACAO ROVITEX MIDI PANTACOURT CANELADA";41.98;75.00;0.00;0.00;"Unidade";"Sim";"FEMININO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;2.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"MACACAO ROVITEX MIDI PANTACOURT CANELADA";0.00;75.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000365";"Produto";"CAMISA  MASC MANGA LONGA ROVITEX";19.90;35.00;0.00;0.00;"Unidade";"Sim";"MASCULINO ADULTO";"VESTUARIO ADULTO";"Sim";0.000;1.000;"ROVITEX";"";"";"";"";"";"";"";"";"";"";"";"";"CAMISA  MASC MANGA LONGA ROVITEX";0.00;35.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000366";"Produto";"GARRAFAS COLOR 500ML";9.75;20.00;0.00;0.00;"Unidade";"Sim";"UTILIDADES";"UTILIDADES";"Sim";0.000;-1.000;"AVON";"";"";"";"";"";"";"";"";"";"";"";"";"GARRAFAS COLOR 500ML";0.00;20.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000367";"Produto";"GARRAFA COLOR 350ML";8.99;15.00;0.00;0.00;"Unidade";"Não";"UTILIDADES";"UTILIDADES";"Sim";0.000;0.000;"AVON";"";"";"";"";"";"";"";"";"";"";"";"";"GARRAFA COLOR 350ML";0.00;15.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000368";"Produto";"RENEW MINI";20.70;30.00;0.00;0.00;"Unidade";"Não";"COSMETICOS AVON";"COSMETICOS AVON";"Sim";0.000;0.000;"AVON";"";"";"";"";"";"";"";"";"";"";"";"";"RENEW MINI";0.00;30.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000369";"Produto";"MASCARA CILIOS";4.82;10.00;0.00;0.00;"Unidade";"Sim";"COSMETICOS AVON";"COSMETICOS AVON";"Sim";0.000;1.000;"AVON";"";"";"";"";"";"";"";"";"";"";"";"";"MASCARA CILIOS";0.00;10.00;0.000;0.000;0.000;0.000;"";"";"";""
